continent,location,date,total_cases,new_cases,total_deaths,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
Africa,Algeria,2020-04-04,1171,185,105,42,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-05,1251,80,130,25,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-06,1320,69,152,22,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-07,1423,103,173,21,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-08,1468,45,193,20,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-09,1572,104,205,12,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-10,1666,94,235,30,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-11,1761,95,256,21,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-12,1825,64,275,19,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-13,1914,89,293,18,83.8,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-14,1983,69,313,20,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-15,2070,87,325,12,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-16,2160,90,336,11,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-17,2268,108,348,12,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-18,2418,150,364,16,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-19,2535,117,367,3,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
Africa,Algeria,2020-04-20,2629,94,375,8,89.35,43851043,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
