continent,country,date,total_cases,new_cases,total_deaths,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
Europe,Albania,2020-04-04,304,27,17,1,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-05,333,29,19,2,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-06,361,28,21,2,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-07,377,16,22,1,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-08,383,6,22,0,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-09,400,17,22,0,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-10,409,9,23,1,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-11,416,7,23,0,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-12,433,17,23,0,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-13,446,13,23,0,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-14,467,21,23,0,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-15,475,8,24,1,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-16,494,19,25,1,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-17,518,24,26,1,84.26,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-18,539,21,26,0,89.81,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-19,548,9,26,0,89.81,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
Europe,Albania,2020-04-20,562,14,26,0,89.81,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
